CENSUS_YEAR,GEO_CODE (POR),GEO_LEVEL,GEO_NAME,GNR,DATA_QUALITY_FLAG,ALT_GEO_CODE,DIM: Age (in single years) and average age (127),Member ID: Age (in single years) and average age (127),Notes: Age (in single years) and average age (127),Dim: Sex (3): Member ID: [1]: Total - Sex,Dim: Sex (3): Member ID: [2]: Male,Dim: Sex (3): Member ID: [3]: Female
2016,1,0,Canada,4,20000,1,Average age,127,,41,40.1,41.9
2016,A0A,2,A0A,4.2,0,01A0A,Average age,127,,44.9,44.4,45.5
2016,A0B,2,A0B,4.1,0,01A0B,Average age,127,,49.3,48.8,49.8
2016,A0C,2,A0C,4.1,0,01A0C,Average age,127,,48.8,48,49.6
2016,A0E,2,A0E,4.2,0,01A0E,Average age,127,,47,46.3,47.7
2016,A0G,2,A0G,4.4,0,01A0G,Average age,127,,48.5,47.9,49
2016,A0H,2,A0H,4.2,0,01A0H,Average age,127,,47.4,46.8,47.9
2016,A0J,2,A0J,4.7,0,01A0J,Average age,127,,48.7,48.2,49.1
2016,A0K,2,A0K,4.6,0,01A0K,Average age,127,,47.8,47.4,48.3
2016,A0L,2,A0L,4.5,0,01A0L,Average age,127,,44.8,44.7,44.8
2016,A0M,2,A0M,5.1,0,01A0M,Average age,127,,48.4,47.6,49.1
2016,A0N,2,A0N,4.9,0,01A0N,Average age,127,,48.5,48.5,48.6
2016,A0P,2,A0P,7.3,100,01A0P,Average age,127,,35.5,35.5,35.5
2016,A0R,2,A0R,2.5,0,01A0R,Average age,127,,34.7,35,34.4
2016,A1A,2,A1A,3.4,0,01A1A,Average age,127,,42.1,40.9,43.2
2016,A1B,2,A1B,4.4,0,01A1B,Average age,127,,38.5,37,40.1
2016,A1C,2,A1C,4.4,0,01A1C,Average age,127,,41.6,40.5,42.7
2016,A1E,2,A1E,3.8,0,01A1E,Average age,127,,43.7,42.1,45.2
2016,A1G,2,A1G,4.1,0,01A1G,Average age,127,,40.9,39.8,41.9
2016,A1H,2,A1H,2,0,01A1H,Average age,127,,34.3,33.9,34.6
2016,A1K,2,A1K,2.6,0,01A1K,Average age,127,,38.3,37.9,38.8
2016,A1L,2,A1L,2.7,0,01A1L,Average age,127,,35.4,34.8,35.9
2016,A1M,2,A1M,2.8,0,01A1M,Average age,127,,39.3,39,39.7
2016,A1N,2,A1N,3.2,0,01A1N,Average age,127,,42.7,41.8,43.7
2016,A1S,2,A1S,4.2,0,01A1S,Average age,127,,40.5,40.3,40.8
2016,A1V,2,A1V,2.8,0,01A1V,Average age,127,,41.9,40.7,43
2016,A1W,2,A1W,2.2,0,01A1W,Average age,127,,40.4,40.1,40.7
2016,A1X,2,A1X,2.7,0,01A1X,Average age,127,,39.4,39.1,39.7
2016,A1Y,2,A1Y,5.7,0,01A1Y,Average age,127,,45.9,44.9,46.8
2016,A2A,2,A2A,3.8,0,01A2A,Average age,127,,43.9,43,44.7
2016,A2B,2,A2B,5.1,0,01A2B,Average age,127,,46,45.2,46.7
2016,A2H,2,A2H,4.6,0,01A2H,Average age,127,,44.5,43.6,45.4
2016,A2N,2,A2N,3.7,0,01A2N,Average age,127,,45.3,44.2,46.3
2016,A2V,2,A2V,1.9,0,01A2V,Average age,127,,36.7,36.5,36.9
2016,A5A,2,A5A,4,0,01A5A,Average age,127,,42.2,41,43.4
2016,A8A,2,A8A,4.7,0,01A8A,Average age,127,,45.6,44.8,46.2
2016,B0C,2,B0C,3.9,0,01B0C,Average age,127,,45.9,45,46.8
2016,B0E,2,B0E,5.1,0,01B0E,Average age,127,,47.3,46.5,48
2016,B0H,2,B0H,5,0,01B0H,Average age,127,,46.9,46.3,47.5
2016,B0J,2,B0J,3.9,0,01B0J,Average age,127,,47.3,46.5,48
2016,B0K,2,B0K,4.4,0,01B0K,Average age,127,,45.9,45,46.7
2016,B0L,2,B0L,3.5,0,01B0L,Average age,127,,47.6,47.5,47.7
2016,B0M,2,B0M,4.7,0,01B0M,Average age,127,,46,45.4,46.6
2016,B0N,2,B0N,3.9,0,01B0N,Average age,127,,43.6,42.8,44.4
2016,B0P,2,B0P,3.9,0,01B0P,Average age,127,,43.7,42.9,44.5
2016,B0R,2,B0R,4,0,01B0R,Average age,127,,49.4,48.8,49.9
2016,B0S,2,B0S,4.8,0,01B0S,Average age,127,,48.8,48,49.6
2016,B0T,2,B0T,4.9,0,01B0T,Average age,127,,48.6,47.3,49.8
2016,B0V,2,B0V,4.5,0,01B0V,Average age,127,,47.4,46.5,48.2
2016,B0W,2,B0W,3.7,0,01B0W,Average age,127,,46.7,46,47.4
2016,B1A,2,B1A,3.6,0,01B1A,Average age,127,,45.7,44.1,47.1
2016,B1B,2,B1B,2.3,0,01B1B,Average age,127,,50,50.1,49.9
2016,B1C,2,B1C,6,0,01B1C,Average age,127,,48.9,48.4,49.4
2016,B1E,2,B1E,3.3,0,01B1E,Average age,127,,45,43.9,45.9
2016,B1G,2,B1G,2.7,0,01B1G,Average age,127,,46.8,45.3,48.1
2016,B1H,2,B1H,3.1,0,01B1H,Average age,127,,46.3,44.8,47.6
2016,B1J,2,B1J,2.8,0,01B1J,Average age,127,,52.8,53,52.6
2016,B1K,2,B1K,4.5,0,01B1K,Average age,127,,47.6,47.3,47.9
2016,B1L,2,B1L,2.5,0,01B1L,Average age,127,,44.7,44,45.5
2016,B1M,2,B1M,3.4,0,01B1M,Average age,127,,45.8,44.4,47.1
2016,B1N,2,B1N,2.6,0,01B1N,Average age,127,,43.8,42.5,45
2016,B1P,2,B1P,3.2,0,01B1P,Average age,127,,44.5,43.1,45.6
2016,B1R,2,B1R,2.1,0,01B1R,Average age,127,,43.8,43,44.5
2016,B1S,2,B1S,6.8,0,01B1S,Average age,127,,48.1,45.1,50.7
2016,B1T,2,B1T,3.7,0,01B1T,Average age,127,,52.5,50.8,54.4
2016,B1V,2,B1V,3.8,0,01B1V,Average age,127,,44.9,44.3,45.5
2016,B1W,2,B1W,9.9,100,01B1W,Average age,127,,27.9,27.2,28.5
