Prov/Terr,FSA,Total,Total Income,Average Income,"Under $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$100,000 to $149,999","$150,000 to $249,999","$250,000 and over"
10,A0A,40150,1673931000,41691.93026,2950,2700,3880,5220,3220,2770,2550,2190,2090,1600,1320,1210,1700,1380,1150,960,2240,880,170
10,A0B,17820,714152000,40075.86981,1180,1150,1790,2570,1650,1370,1130,960,860,710,580,480,710,520,420,340,960,380,60
10,A0C,11180,378712000,33874.06082,780,720,1220,1870,1180,940,840,610,550,440,300,270,390,230,200,180,340,110,10
10,A0E,19860,828501000,41717.06949,1520,1390,2070,2850,1850,1400,1140,880,800,610,460,450,710,610,580,530,1520,460,60
10,A0G,31290,1089500000,34819.43113,2510,1960,3840,5040,2890,2380,2180,1740,1450,1110,850,670,1060,780,690,510,1230,340,70
10,A0H,15840,521894000,32947.85354,1780,1080,1840,2390,1440,1200,990,850,690,550,420,360,550,420,280,250,570,170,20
10,A0J,7050,259345000,36786.52482,650,470,860,1200,640,460,380,290,300,220,190,150,270,200,150,150,340,120,20
10,A0K,23340,881616000,37772.75064,1420,1410,2640,3560,2120,1940,1680,1260,1080,880,710,510,940,660,570,460,1140,300,70
10,A0L,6560,272914000,41602.7439,390,370,600,780,530,490,470,420,390,320,220,230,360,250,220,140,280,90,30
10,A0M,5420,198975000,36711.25461,360,330,550,780,550,410,330,270,260,200,180,210,310,190,160,130,150,50,10
10,A0N,12790,392679000,30702.03284,1160,950,1630,2210,1220,1010,850,660,580,420,290,270,410,310,220,170,340,70,20
10,A0P,9910,515686000,52036.93239,1240,640,640,600,550,480,500,450,390,430,350,360,620,510,440,430,980,220,60
10,A0R,1920,135334000,70486.45833,130,90,80,70,70,60,90,90,80,70,80,60,110,110,100,120,410,120,10
