id,lat,long,occurrencedate,reporteddate,premisetype,offence,MCI,division,neighbourhood
0,43.6657867,-79.3201065,2019-01-01,2019-01-01,Commercial,Assault With Weapon,Assault,D55,Greenwood-Coxwell (65)
1,43.7639694,-79.2047806,2019-01-01,2019-05-06,Apartment,Assault,Assault,D43,Woburn (137)
2,43.7589722,-79.1975784,2019-01-01,2019-02-01,Commercial,Assault,Assault,D43,West Hill (136)
3,43.7390823,-79.5928192,2019-01-01,2019-04-27,Apartment,Assault,Assault,D23,Mount Olive-Silverstone-Jamestown (2)
4,43.6393433,-79.4513092,2019-01-01,2019-04-26,Outside,Assault,Assault,D11,High Park-Swansea (87)
5,43.6992722,-79.3186798,2019-01-01,2019-04-25,Apartment,Assault,Assault,D54,Woodbine-Lumsden (60)
6,43.7920647,-79.2598114,2019-01-01,2019-04-22,Outside,Theft Of Motor Vehicle,Auto Theft,D42,Agincourt South-Malvern West (128)
7,43.803421,-79.321846,2019-01-01,2019-04-18,House,Assault,Assault,D42,L'Amoreaux (117)
8,43.6594276,-79.4376068,2019-01-01,2019-01-02,Other,B&E W'Intent,Break and Enter,D11,Dovercourt-Wallace Emerson-Junction (93)
9,43.631485,-79.5310669,2019-01-01,2019-05-07,Commercial,Theft Over,Theft Over,D22,Islington-City Centre West (14)
10,43.657547,-79.4652481,2019-01-01,2019-01-04,Apartment,B&E,Break and Enter,D11,High Park North (88)
11,43.6717339,-79.563652,2019-01-01,2019-04-17,Other,Assault,Assault,D22,Eringate-Centennial-West Deane (11)
12,43.813961,-79.2607727,2019-01-01,2019-02-20,House,Assault,Assault,D42,Agincourt North (129)
13,43.7650986,-79.5209961,2019-01-01,2019-02-07,Apartment,Assault With Weapon,Assault,D31,Black Creek (24)
14,43.7650986,-79.5209961,2019-01-01,2019-02-07,Apartment,Assault,Assault,D31,Black Creek (24)
15,43.7384186,-79.4342499,2019-01-01,2019-11-17,Commercial,Theft Over,Theft Over,D32,Lansing-Westgate (38)
16,43.7482376,-79.5416107,2019-01-01,2019-02-03,Apartment,Assault,Assault,D31,Humbermede (22)
17,43.6713829,-79.4883881,2019-01-01,2019-11-05,Apartment,Assault,Assault,D12,Rockcliffe-Smythe (111)
18,43.6783333,-79.4164352,2019-01-01,2019-10-19,House,B&E,Break and Enter,D13,Casa Loma (96)
19,43.6498985,-79.3911362,2019-01-01,2019-04-18,Apartment,B&E,Break and Enter,D52,Kensington-Chinatown (78)
20,43.7757454,-79.234993,2019-01-01,2019-10-07,House,Assault,Assault,D43,Woburn (137)
21,43.771244,-79.522522,2019-01-01,2019-05-09,Outside,Assault,Assault,D31,Black Creek (24)
22,43.818779,-79.2124786,2019-01-01,2019-05-26,House,Assault,Assault,D42,Rouge (131)
23,43.8212776,-79.2758942,2019-01-01,2019-01-01,House,Theft Of Motor Vehicle,Auto Theft,D42,Milliken (130)
24,43.7293053,-79.5107117,2019-01-01,2019-01-01,Outside,Theft Of Motor Vehicle,Auto Theft,D31,Downsview-Roding-CFB (26)
25,43.7766724,-79.2505341,2019-01-01,2019-01-01,Commercial,Theft Of Motor Vehicle,Auto Theft,D43,Woburn (137)
26,43.8060036,-79.3556824,2019-01-01,2019-12-11,Other,Assault,Assault,D33,Hillcrest Village (48)
27,43.7273941,-79.2526321,2019-01-01,2019-04-01,Apartment,Assault,Assault,D41,Kennedy Park (124)
28,43.8060036,-79.3556824,2019-01-01,2019-12-11,Other,Assault,Assault,D33,Hillcrest Village (48)
29,43.8060036,-79.3556824,2019-01-01,2019-12-11,Other,Assault,Assault,D33,Hillcrest Village (48)
30,43.7282791,-79.4275742,2019-01-01,2019-01-02,House,Theft Of Motor Vehicle,Auto Theft,D32,Bedford Park-Nortown (39)
31,43.82024,-79.2461853,2019-01-01,2019-05-15,Other,Theft Of Motor Vehicle,Auto Theft,D42,Rouge (131)
32,43.7233429,-79.5918808,2019-01-01,2019-01-02,House,Theft Of Motor Vehicle,Auto Theft,D23,West Humber-Clairville (1)
33,43.8103409,-79.2200241,2019-01-01,2019-07-01,Apartment,Assault,Assault,D42,Malvern (132)
