id,title,price,sqft,image,url,post_published_date,lat,long,postal_code,FSA,rental_type,bedrooms,bathrooms,furnished,pet_friendly,description,source
c_7175652366,87 Peter - Slate - 1bed Sept 1,2000,538.0,https://images.craigslist.org/01212_1tx3p0rlYWM_0CI0t2_600x450.jpg,https://toronto.craigslist.org/tor/apa/d/toronto-87-peter-slate-1bed-sept-1/7175652366.html,2020-08-11,43.646603,-79.392271,M5V 2G4,M5V,condo,1.0,1.0,,True,"1BR / 1Ba 538ft2 available sep 1 cats are OK - purrr dogs are OK - wooof condo w/d in unit/ 1br - 538ft2 -87 Peter St –#3311 Slate – 1bed/1bath - 538 SqFt - $2000/M – Hydro Extra
East views from your Balcony. Open concept kitchen living room –1 bedroom and 1 full bathroom unit. 538 SqFt.. Ensuite Laundry, stainless steel kitchen appliances included. Engineered Hardwood floors, Stone counter tops and 9 ft ceilings. Water and heat included.
Building still under construction - We are the first and only units available in the building for lease.
EXTRAS: Built-in fridge, dishwasher, stove, microwave, front loading washer and dryer, existing Lights, AC, Hardwood floors, balcony
AMENITIES: Full gym with cardio and weights, Theater screening room, Yoga Centre, Multi-purpose event room with kitchen, bar, lounge seating, walk-out to an outdoor terrace provides easy entertainment for guests, Coed Steam room for calming retreat after a long day
$2,000.00 per month
Utilities: Not included.
PLEASE NOTE:
1. Hydro, cable, phone and internet not included.
2. Proof of employment.
3. Credit report and;
4. Tenants insurance is required upon move in.
1 Year Lease - First and Last Month deposit required
Parking and Locker available upon request at additional cost.
For Floor plans and more of our other listings visit http://www.menkescondorentals.com
In the heart of Toronto’s Entertainment district off King St West. Steps from King, Spadina Streetcars and university Subway line. David Pecaut Square, CN tower, Groceries, Banks, LCBO, restaurants. 10min walk from Financial district, China town, waterfront, West Queen West.
Visit www.menkescondorentals.com for more information or call show contact info",craigslist
c_7175652126,Harbour Plaza! 1Bed/1Bath +media area - September,2250,595.0,https://images.craigslist.org/00Q0Q_huAI9VgN8a1_0CI0pO_600x450.jpg,https://toronto.craigslist.org/tor/apa/d/toronto-harbour-plaza-1bed-1bath-media/7175652126.html,2020-08-11,43.641093,-79.380324,M5J,M5J,condo,1.0,1.0,,False,"1BR / 1Ba 595ft2 available sep 1 condo w/d in unit/ 1br - 595ft2 -$2250 - 88 Harbour #2405 – 1Bed/1Bath (media area) – Atlantic floor plan–Sept 1
Harbour Plaza. Floor to ceiling windows. Open concept layout, hardwood floors. Kitchen appliances (fridge, dishwasher, oven, stove) included as well as Ensuite washer and dryer. AC, window coverings, Heat, and water included – Hydro extra. Includes 1 gym pass – No Parking or locker
595 SqFt
For Floor plans, video tours and more of our other listings visit http://www.menkescondorentals.com
Harbour Plaza Amenities Include:
- Gym-Exercise room.
- Indoor pool and saunas.
- Hot Tub / Jacuzzi
- Common rooftop deck.
- Concierge and security guard.
- Party room.
- Bicycle parking.
- Business Centre.
- Guest suites.
- Media room-Cinema.
- Meeting-Function room.
- Games-Recreation room.
High-demand Location!!!
PLEASE NOTE:
1. Hydro, cable, phone and internet not included.
2. Proof of employment.
3. Credit report and;
4. Tenants insurance is required upon leasing.
1 Year Lease - First and Last Month deposit required",craigslist
c_7175651860,The Eglinton / Redpath -studio,1750,359.0,https://images.craigslist.org/00J0J_3SYJ5EqHxld_0CI0t2_600x450.jpg,https://toronto.craigslist.org/tor/apa/d/toronto-the-eglinton-redpath-studio/7175651860.html,2020-08-11,43.707766,-79.392611,M4P 1J5,M4P,condo,1.0,2.0,,False,"1BR / 2Ba 359ft2 available aug 14 condo w/d in unit/ 1br - 359ft2 -The Eglinton- Maxwell #2711 -359 SqFt Studio $1750 Move in Now

Balcony with East views. Open concept kitchen living room –Studio with 1 full bathroom unit. 359 SqFt.. Ensuite Laundry, stainless steel kitchen appliances included. Engineered Hardwood floors, Stone counter tops. Water and heat included .
For Floor plans, video tours and more of our other listings visit http://www.menkescondorentals.com
EXTRAS: Built-in fridge, dishwasher, stove, microwave, front loading washer and dryer, existing Lights, AC, Hardwood floors, balcony
AMENITIES: Full gym with cardio and weights, Theater screening room, Multi-purpose event room with kitchen, bar, lounge seating, Billiards, walk-out to an outdoor terrace provides easy entertainment for guests and BBQs, Interactive kids room.
$1,7500.00 per month
Utilities: Not included.
PLEASE NOTE:
1. Hydro, cable, phone and internet not included.
2. Proof of employment.
3. Credit report and;
4. Tenants insurance is required upon move in.
1 Year Lease - First and Last Month deposit required
The Area: The Eglinton Condos is part of the well-established Yonge & Eglinton neighbourhood - the ideal blend of well-treed residential streets, excellent food and shopping, a bustling business hub, and a commuter’s dream with convenient transit access. The Eglinton will offer unsurpassed access to both the Yonge Eglinton TTC subway line, as well as the Eglinton Crosstown LRT (now under construction) which makes getting anywhere in Toronto very easy. But with some of the best restaurants in the city, exciting nightlife, top schools, and an abundance of youthful exuberance, you may never want to leave.",craigslist
c_7163821108,Beautiful Victorian Home in Roncesvalles,0,,https://images.craigslist.org/00j0j_jEtCuBPZZB3_0ww0oo_600x450.jpg,https://toronto.craigslist.org/tor/roo/d/toronto-beautiful-victorian-home-in/7163821108.html,2020-08-11,43.6469,-79.4521,M6R 1N7,M6R,house,,,True,True,"available sep 1 dogs are OK - wooof furnished house laundry on site street parking no private bath private room Hi there! We are looking for two people to fill two (separate) fully furnished bedrooms in our communally-minded vegan home in the Roncesvalles neighbourhood. Both rooms are upstairs with a shared bathroom. Master and smaller mint room are available Sept. 1st.

price: $950 per month (for master), $ 750 per month (for mint room) plus all utilities for $120 per month, including internet.

location: Dundas and Sorauren, near Dundas West Station (heart of Roncesvalles).

lease terms: This is a roommate search and rent will be paid to the leaseholder (Caitlin, another roomie, not the house owner) on a month to month basis, with a minimum of three months commitment to start.

required documents for application:
· References (ideally from previous landlord)
· First and last month's rent.

additional info:
Two of our roomies had to move to be with family due to covid-related issues, and we are still looking for the ideal fit for our communally-minded Victorian home in the heart of Roncesvalles. We love to cook and share meals together in an atmosphere of conscious care. It’s a vegan home (no animal-based foods) and we’re committed to principals of radical softness and contextual wisdom, so shared values and like-minded folks are important. And we’re more than happy to help those interested in learning how to cook yummy plant based meals at home - we tend to share groceries as well. The master room features a beautiful bay windows outlooking the street, extra high ceilings, and a calming drift wood light fixture (as pictured). The mint room is very small but has two teak shelves mounted with a clothing rack, small desk and double bed. It feels super cozy and warm and gets the best light in the whole house. It has a south facing window which looks out to our lovely backyard.

a little bit about us:
Caitlin is a 36-year-old queer curator and performance maker that runs a little shop on Dundas St. West, plays Maracatu, and is passionate about social justice through art and collaborative visioning. I am 28 and work as a gardener full-time and am really passionate about music. I will be going back to school in the fall to study Social Work. Cleanliness is super important to us, so we are looking for people that are proactive about keeping common areas clean and can help out with weekly chores. We see great value in communal living, and are looking for folks who feel similarly about creating a supportive shared space. Capacity to communicate openly and with maturity is essential.

preferred method of contact: Please email me (Matt) with any inquiries along with your name and number and a little bit about what you’re looking for along with a comment here if you’re interested!",craigslist
c_7172985442,Bright open concept main floor with gorgeous,980,,,https://toronto.craigslist.org/tor/apa/d/downtown-toronto-bright-open-concept/7172985442.html,2020-08-11,43.6555,-79.3626,M5A 3A8,M5A,condo,1.0,0.0,True,True,"1BR / 0Ba cats are OK - purrr dogs are OK - wooof furnished apartment/ 1br -Vacant Contemporary 1 Bdrm,1 Bath Condo With Windows Spanning End To End Allows You To Soak In Unobstructed South East Toronto Views. Featuring 9' Ceilings,Modern Kitchen,Roller Shades,Ensuite Laundry,This Open Concept Layout Allows For Tons Of Natural Light & Is Located In A 2017 Governor's Award For Design Excellence In Architecture Winning Building. Situated Mins From Downtown Core,Distillery District,Dvp,Ttc,& The 18 Acre Don River Park!",craigslist
c_7175647791,Beautiful large Bachelor 2/Fl. U of T. Sept. 1,1800,400.0,https://images.craigslist.org/00O0O_6B7D8XxDu9A_0uF0t2_600x450.jpg,https://toronto.craigslist.org/tor/apa/d/toronto-beautiful-large-bachelor-2-fl/7175647791.html,2020-08-11,43.674607,-79.403009,M5R 2L6,M5R,duplex,1.0,1.0,,False,"1BR / 1Ba 400ft2 available sep 1 duplex laundry on site no smoking street parking/ 1br - 400ft2 -Apt in an Edwardian house on safe and quiet Admiral Rd. Best location steps to U of T, Yorkville, 2 Subways, coffees and restaurants.
9 foot ceilings, hardwood floors, bay window, A/C. private deck, private entrance, full kithen, 3 piece bath, on site laundry.

Monthly Rent $1800+$50 utilities. Available Sept. 1. (please reply with occupation etc.)
12 months lease. first and last month rent deposit and postdated cheques.

Reference, Credit score and proof of financial support required.
non smoking, no pets.",craigslist
c_7175646388,Bright Spacious 1 Br Plus 1 Den And 1 Parking At The Heart Of Downtown,2750,,https://images.craigslist.org/00y0y_kafT1LvMRDB_042031_600x450.jpg,https://toronto.craigslist.org/tor/apa/d/toronto-bright-spacious-1-br-plus-1-den/7175646388.html,2020-08-11,43.645768,-79.393616,M5V 1K1,M5V,condo,1.0,2.0,,False,"1BR / 2Ba available oct 2 condo w/d in unit/ 1br -Bright Spacious 1 Br Plus 1 Den And 1 Parking At The Heart Of Downtown. Modern Kitchen With Ss Appls. Granite Counters, Hardwood Floors Through Out. Fantastic Layout Separate Den Rm, Balcony, Unobstructed East Views Of City Skyline And Lake View. Steps To Restaurants, Shopping, Nightlife, Bars, Tiff Bell Lightbox, Scotiabank Theatre, Fin. Dest, Lcbo, Ttc, Loblaws & More! Great Amenities In Building.

All Stainless Steel Appliances: Stove, Fridge, B/I Dishwasher, Microwave, Washer/Dryer.Tenant Pays Hydro, Liability & Tenant Insurance.No Smoking, No Pets, No Sublease



This is a 1 Year Lease.

Available October 2nd.

Parking Included. No Locker.

My service is FREE to you. Please email me from your personal email address.

I will need the following from EACH person going on the lease to apply :

1.Employment letter stating salary and length of employment.
2. Recent ( less than 30 days old ) Full Credit Report With Credit score



Andrea Soos
Sales Representative
Real Estate Advisors Inc., Brokerage
Office: show contact info",craigslist
c_7175642688,"1 Bedroom With Sw Gorgeous Lake View & City Skyline, Sides Onto Park,",2380,,https://images.craigslist.org/00s0s_6Kls8ZZQPa2_031042_600x450.jpg,https://toronto.craigslist.org/tor/apa/d/toronto-1-bedroom-with-sw-gorgeous-lake/7175642688.html,2020-08-11,43.645878,-79.364515,M5A 1B9,M5A,condo,1.0,1.0,,False,"1BR / 1Ba available now condo w/d in unit/ 1br -1 Bedroom With Sw Gorgeous Lake View & City Skyline, Sides Onto Park, Large Kitchen Island With Breakfast Bar, High End Finishes, 9' Smooth Ceiling, Wrap Around Windows, W/O To Balcony O/Look Lake/Park/Downtown, 24/7 Concierge, Easy Access To Ttc, Gardiner Expressway, Steps To Waterfront, Sugar Beach, George Brown College, Loblaws, Lcbo, Dvp & Gardiner Expressway.

Integrated Fridge & Dishwasher, B/I Cooktop, B/I Oven, Microwave, Washer & Dryer, Custom Window Blinds, Elf's, 1 Parking & 1 Locker Included.



This is a 1 Year Lease.

Available Now.

Parking&Locker.

My service is FREE to you. Please email me from your personal email address.

I will need the following from EACH person going on the lease to apply :

1.Employment letter stating salary and length of employment.
2. Recent ( less than 30 days old ) Full Credit Report With Credit score



Andrea Soos
Sales Representative
Real Estate Advisors Inc., Brokerage
Office: show contact info",craigslist
c_7175626749,"Downtown East SuperSaver Full 1BDRM Apt, laundry, 24hr TTC streetcar",1095,,https://images.craigslist.org/00K0K_ixBr8BzuHXh_07e05q_600x450.jpg,https://toronto.craigslist.org/tor/sub/d/toronto-downtown-east-supersaver-full/7175626749.html,2020-08-11,43.673335,-79.320817,M4L 3A3,M4L,house,1.0,1.0,True,False,"1BR / 1Ba available sep 1 furnished apartment laundry in bldg no smoking street parking private bath private room/ 1br -Completely private, furnished, full one Bedroom apt on the lower level of a quiet, private home on a quiet residential street. Furnishings include two Ikea futons (one in living room, the other in the bedroom), Ikea dresser, Dining table, coffee table and end tables, microwave, toaster, frost free fridge, GE Stainless Steel cook-top. Plenty of room in this full one bedroom apartment. Private entrance has direct access to the street. 24 hr TTC lines just steps away. 25 minutes to Downtown core by TTC, 10 minutes by car. Coxwell Subway Station 3 minutes away. Close to all amenities, shopping, banking, restaurants, India Bazaar. Close to the lake: 15 minute walk. Includes all utilities: Bell High speed Fiber optic internet, electricity, heating, Air Conditioning in summer, hot and cold water. Wall-to-wall carpet. Shower only, no bathtub. Use of in house laundry machines. Available starting September 1st. Minimum two month Lease extendable up to one year or longer. For NON-SMOKER ONLY. Offered for lease by owner/Member, Ontario Landlords Association",craigslist
c_7175624730,Share my Bed in a 1 bedroom apt,650,,,https://toronto.craigslist.org/tor/roo/d/toronto-share-my-bed-in-1-bedroom-apt/7175624730.html,2020-08-11,43.6605,-79.4633,M6P 2L7,M6P,apartment,,,True,True,"available aug 15 dogs are OK - wooof apartment laundry on site street parking no private bath room not private Are you new to Toronto and looking for an apartment? Looking for short term rental until you find a new place?
Share my bed in a 1 bedroom apartment.

You must be working and be ok with a dog. I work from home and travel during weekends. The area is friendly with laundry, restaurants and parks near by.

Place is fully furnished and you can share all that I have. Just bring your clothes.
I have a personal gym too for you to workout.

No last required as this is short term rental.

serious inquires only... lgbt friendly :)

Near Dundas West station

All inclusive + internet.

South Asians, Middle Eastern preferred for compatibility however anyone looking can apply.",craigslist
