FSA,avg_income
H4E,32297.44961
J3Y,41920.62187
K0M,41941.82174
L0A,50645.79946
L0G,58406.25993
L0H,72340.64748
L0J,115162.7249
L0N,56237.54513
L0P,73380.24133
L1G,42261.79463
L1H,39385.14449
L1J,39423.65492
L1K,49227.0194
L1L,51335.44304
L1N,50608.74933
L1R,56518.79973
L1S,46207.4259
L1T,46148.88948
L1V,52087.33154
L1W,52819.40959
L1Z,48422.65784
L3P,53266.32975
L3R,49621.3033
L3S,32618.12184
L3T,55579.92634
L3X,55353.78361
L3Y,50056.68061
L3Z,46134.13174
L4B,51579.22403
L4C,47934.26844
L4E,52045.99178
L4G,67161.83295
L4H,50890.53423
L4J,58606.48529
L4K,55899.92754
L4L,55601.32063
L4S,43995.06742
L4W,48925.22321
L4X,35615.56764
L4Y,43279.28496
L4Z,40177.90621
L5A,35375.31493
L5B,38339.03331
L5C,42575.45788
L5E,49379.86513
L5G,75287.81407
L5H,97584.51613
L5J,60483.62226
L5K,52432.86252
L5M,45742.86242
L5N,47298.64947
L5R,38570.50032
L5V,38864.98538
L5W,43346.09705
L6A,48471.38239
L6B,45117.90831
L6C,50176.27719
L6E,41929.55213
L6G,39916.15385
L6H,67234.35622
L6K,73695.92629
L6L,73544.82318
L6M,70781.31099
L6P,35368.18037
L6R,31735.61401
L6S,39750.44832
L6T,33816.609
L6V,34910.49777
L6W,41460.9925
L6X,37942.2496
L6Y,34843.35033
L6Z,45203.19564
L7A,37624.25871
L7B,90590.12346
L7C,56750.87992
L7E,57758.73016
L9C,42582.42288
L9S,44962.35776
L9T,51572.1135
L9V,46324.71008
L9Z,39977.10843
M1B,30679.49815
M1C,51018.70702
M1E,36469.54721
M1G,27923.1376
M1H,31647.27366
M1J,29308.98669
M1K,29838.3964
M1L,32342.74721
M1M,45270.64373
M1N,55511.12419
M1P,31336.05991
M1R,33371.84801
M1S,31599.08862
M1T,32684.46915
M1V,28185.3648
M1W,34021.18977
M1X,32308.49292
M2H,41668.18613
M2J,37688.86326
M2K,55721.74137
M2L,117362.2039
M2M,40288.10109
M2N,44988.4962
M2P,133867.638
M2R,36254.78802
M3A,44054.97885
M3B,124592.3204
M3C,42811.45521
M3H,60156.55029
M3J,29158.26949
M3K,43443.65079
M3L,29834.72419
M3M,32941.57363
M3N,24784.608
M4A,38352.22816
M4B,44048.4375
M4C,41353.11522
M4E,83258.0294
M4G,122920
M4H,23701.21858
M4J,50671.96885
M4K,63847.61506
M4L,64260.27919
M4M,54544.16712
M4N,211828.7854
M4P,69787.12418
M4R,136834.6375
M4S,76960.79102
M4T,183044.697
M4V,167263.3119
M4W,202622.069
M4X,38494.63944
M4Y,50632.03021
M5A,50511.19501
M5B,46121.436
M5C,145786.911
M5E,89985.55241
M5G,26468.4346
M5H,178935.8871
M5J,94132.24907
M5K,172630.5556
M5L,237900
M5M,121093.9227
M5N,120636.3564
M5P,145550.4021
M5R,120758.4789
M5S,73415.47721
M5T,36766.07015
M5V,76540.54826
M5W,89029.41176
M5X,386127.2727
M6A,40898.57605
M6B,54777.93531
M6C,68644.71413
M6E,34659.7351
M6G,57558.07137
M6H,41532.98029
M6J,55496.20893
M6K,43113.46616
M6L,34011.76471
M6M,31173.49548
M6N,33135.44264
M6P,54895.31039
M6R,69978.55114
M6S,79046.26866
M7A,0
M7Y,0
M8V,53114.07382
M8W,47936.60934
M8X,137983.8084
M8Y,61165.37764
M8Z,62610.78652
M9A,85128.78949
M9B,59289.96513
M9C,48608.04783
M9L,30452.44399
M9M,30687.31905
M9N,33422.27414
M9P,50239.79406
M9R,37825.68842
M9V,26914.85423
M9W,32810.83563
N7T,39495.69307
P0B,46452.5
P0S,43418.30635
P1P,39603.46154
P2A,41125.25629
P6A,44962.17346
V0H,41808.33333
V4B,57671.50538
V6H,83225.69403
V8P,49395.76149
V9K,46496.89082
V9R,37709.86425
L5LL4T,0
YO21,0
