id,title,price,sqft,image,url,post_published_date,lat,long,postal_code,FSA,rental_type,bedrooms,bathrooms,furnished,pet_friendly,description,source
k_1515948914,"Parkway Forest Towers - 2 Bedroom, 1 Bathroom for Rent",2209,940,https://i.ebayimg.com/00/s/NzY4WDEzNjU=/z/K40AAOSw6NdfKHbo/$_27.JPG,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/parkway-forest-towers-2-bedroom-1-bathroom-for-rent/1515948914,2020-08-13,43.7733049,43.7733049,M2J 1L6,M2J,apartment,2,1,False,True,"Contact Timbercreek Communities today! Parkway Forest Towers is located in the revitalized Don Mills and Sheppard neighbourhood. This location can't be beat! Within minutes you'll find a brand new community centre surrounded by bright landscape, public transit, easy access to major highways, and modern conveniences at your doorstep.",Kijiji
k_1502301137,"One, two bedroom large unit from $1650 , Hydro extra fully reno",1650,750,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/cIkAAOSw~HheyA5k/$_27.JPG,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/one-two-bedroom-large-unit-from-1650-hydro-extra-fully-reno/1502301137,2020-07-17,43.78136869999999,43.78136869999999,M1G 3S7,M1G,apartment,1,1,False,False,"Fully renovated high rise building with one and two bedroom unit available immediately. The units are fully renovated with new appliances. Onsite building staff, video surveillance system, The building is located minutes of HWY 401, close to Centennial College in Scarborough, and Scarborough Town Centre",Kijiji
k_1505788420,1 Bedroom Renovated Apartment for Rent - 135 Tyndall Avenue,1949,626,https://i.ebayimg.com/00/s/NzY4WDExNTI=/z/NmUAAOSw2sBfKxJs/$_27.JPG,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-renovated-apartment-for-rent-135-tyndall-avenue/1505788420,2020-08-13,43.6377125,43.6377125,M6K 2G4,M6K,apartment,1,1,False,True,Please view our available units by clicking on the virtual tour below.,Kijiji
k_1516085720,"Yonge and Finch, 1+1 unit , spacious and bright with west view",2100,675,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/fcYAAOSw8WZfKYlP/$_27.JPG,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/yonge-and-finch-1-1-unit-spacious-and-bright-with-west-view/1516085720,2020-08-06,43.7758397,43.7758397,M2N 5R6,M2N,condo,1,1,False,False,"Amazing Tridel building. Yonge and Finch. About 6 minutes walk to Finch subway station.
Spacious 1+1 condo unit with unobstructed west view. Also has view to north west and south west. Very bright with lots of windows. The den can be used as an extra room.
Stove, microwave, dishwasher, fridge-freezer, in unit washer and dryer, A/C.
One underground parking and locker. Visitor parking.
Sauna, indoor pool, gym, virtual golf. Party room, guest suite, barbecue facilities, and 24 hour Conciege.
Close to Metro and restaurants.",Kijiji
k_1517893288,Dwtn Toronto King W/John St Lux 788SF 1B/R+Den+Park+2WR+locker,2550,788,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/dwtn-toronto-king-w-john-st-lux-788sf-1b-r-den-park-2wr-locker/1517893288,2020-08-14,43.6460058,43.6460058,M5V 0C4,M5V,condo,1,2,False,False,"Excellent downtown location King St West/John St a spacious 788 Sq Ft luxury condo unit 1B/R+large Den+1Parking+2 full bathrooms available for rent. This unit is kept extra clean and shows very well like a 5* hotel suite. Den is good for home office or junior B/R. Wooden floors, high end Miele appliances and stylish kitchen with upgraded cabinetry with stone top island and kitchen counter tops. Enjoy the top class luxurious amenities of the condo building and the convenience of downtown core living. TTC, Subway, Pathways connection, restaurants, theaters and other major attractions are very close by. Walk score almost 100. Utilities and parking ( a super value of about $300 pm)included in the low rent of $2550 pm. Verifiable references and documents needed. Call 416 566 4033 for further inquiries.",Kijiji
k_1517892459,Downtown Toronto Bachelor Studio Apt Available,1295,340,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/EgcAAOSwwH5fNd3j/$_27.JPG,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/downtown-toronto-bachelor-studio-apt-available/1517892459,2020-08-14,43.6686313,43.6686313,,,apartment,0,1,False,False,Toronto Downtown close to Yonge/Bloor Bachelor Apt Available . Utility inclusive,Kijiji
k_1517891869,Toronto Condo for Rent- 35 Mariner Terrace- 1+Den,2400,670,https://i.ebayimg.com/00/s/MzIwWDI0MA==/z/y1QAAOSwbp9fNd6m/$_27.PNG,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/toronto-condo-for-rent-35-mariner-terrace-1-den/1517891869,2020-08-14,43.6396694,43.6396694,M5V 3V9,M5V,condo,1,1,False,True,"Condo for rent starting October 1st.
35 Mariner Terrace, located in the entertainment district.
Walking distance from Rogers Centre, Sobeys, Starbucks, Sushi, St.Louis and more.
Unit 1 bedroom + den. Has in- suite stacked laundry, gas stove, new dishwasher, microwave, and fridge.
1 underground parking space, and locker included in lease.
Please contact for additional information",Kijiji
k_1517891500,1+1 Corner Unit with Unobstructed view - with parking,2100,700,https://i.ebayimg.com/00/s/NjAwWDgwMA==/z/AkgAAOSweupfNd38/$_27.PNG,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-1-corner-unit-with-unobstructed-view-with-parking/1517891500,2020-08-14,43.7679897,43.7679897,M2K 1C2,M2K,condo,1,1,False,False,"**Unit** : 1+1 Corner Unit with parking available September 1
**Price**: $2100/month + hydro + tenant insurance
**Rent Control **: Unit was used for residential purposes prior to Nov 15 2018
**Location **: North York, Leslie and Sheppard
**What is your relationship to the unit:** Landlord
**Lease terms**: This is a new lease starting September 1st
**Required documents**:
Proof of income
Landlord references
Last month deposit
Credit check
**Additional information:** Spacious 1+1 Corner Unit with unobstructed view available **September 1st,** Convenient Ensuite Storage Room And Laundry. Free Shuttle Or Walk To Ttc Subway. Minutes To Hwy401/404, Go Train, Ikea, Hospital, Trails, Parks And Malls.Free Shuttle Or Walk To Ttc Subway. Minutes To Hwy401/404, Go Train, Ikea, Hospital, Trails, Parks And Malls.
Fridge, Stove, Range Hood, Dishwasher. Microwave, Stacked Washer/Dryer. All Windows Covering & Elfs.",Kijiji
k_1517891317,Apartment in Downtown Toronto,1650,350,https://i.ebayimg.com/00/s/NDU2WDgwMA==/z/qwoAAOSwyL9fNdxd/$_27.JPG,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/apartment-in-downtown-toronto/1517891317,2020-08-14,43.672896,43.672896,M5R 2M2,M5R,apartment,0,1,True,False,"Cozy apartment in DT Toronto, Annex, Toronto University aria, 5 min walk from subway. In apartment one bathroom, small kitchenette included fridge with freezer, kettle, coffee machine, MW, and toaster. No oven or stove. For more details please contact me 519-222-1007",Kijiji
k_1507429844,Downtown 1 bedroom condo for rent,2000,700,https://i.ebayimg.com/00/s/ODAwWDc4Nw==/z/VkcAAOSwFAZe7MeW/$_27.JPG,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/downtown-1-bedroom-condo-for-rent/1507429844,2020-08-14,43.6429445,43.6429445,M5V 3R7,M5V,condo,1,1,False,True,"Spacious 1+1 corner unit in the heart of downtown Toronto. Floor to ceiling windows, ensuite laundry and updated kitchen finishings. Amazing amenities including spa, basketball court, pool, jacuzzi, sauna, theatre and gym. Steps away to shops, grocery, ttc, harbourfront and much more. Semi furnished - dining set and bedroom dressers included. All major appliances and utilities ALL included.",Kijiji
