Index_,Event_Unique_ID,Occurrence_year,Division,Homicide_Type,Occurrence_Date,Hood_ID,Neighbourhood,Lat,Long,ObjectId
201,1787320,2006,D52,Shooting,1161921600000,77,Waterfront Communities-The Island (77),43.6486397,-79.3866196,1
202,1470621,2006,D54,Stabbing,1162702800000,43,Victoria Village (43),43.7159882,-79.3049393,2
203,1470621,2006,D54,Stabbing,1162702800000,43,Victoria Village (43),43.7159882,-79.3049393,3
204,1448992,2006,D42,Shooting,1163480400000,132,Malvern (132),43.809391,-79.2286911,4
205,1945800,2006,D11,Other,1164430800000,87,High Park-Swansea (87),43.649334,-79.4844818,5
206,1796411,2006,D14,Shooting,1165122000000,77,Waterfront Communities-The Island (77),43.6427383,-79.3939285,6
207,1462848,2006,D42,Other,1165122000000,132,Malvern (132),43.796772,-79.1971359,7
208,1451923,2006,D51,Other,1166590800000,72,Regent Park (72),43.6624184,-79.3586884,8
209,1501929,2006,D14,Shooting,1167022800000,85,South Parkdale (85),43.6389618,-79.4273758,9
210,1490523,2006,D23,Stabbing,1167109200000,4,Rexdale-Kipling (4),43.7257538,-79.5734711,10
211,1932560,2006,D31,Shooting,1167195600000,24,Black Creek (24),43.7619209,-79.5188217,11
212,1904938,2006,D22,Other,1160107200000,14,Islington-City Centre West (14),43.6473999,-79.5601501,12
213,1875060,2007,D42,Shooting,1167627600000,132,Malvern (132),43.7999954,-79.2282181,13
214,1763040,2007,D54,Shooting,1168491600000,44,Flemingdon Park (44),43.712368,-79.3244934,14
215,1441479,2007,D12,Other,1168491600000,113,Weston (113),43.6998215,-79.5153656,15
216,1993783,2007,D42,Shooting,1168750800000,128,Agincourt South-Malvern West (128),43.782032,-79.2683182,16
217,1492036,2007,D12,Stabbing,1169269200000,111,Rockcliffe-Smythe (111),43.6780205,-79.4777756,17
218,1925141,2007,D43,Shooting,1170565200000,123,Cliffcrest (123),43.7224388,-79.2279053,18
219,1896894,2007,D31,Stabbing,1171429200000,26,Downsview-Roding-CFB (26),43.7255173,-79.5132065,19
220,2061133,2007,D41,Stabbing,1173416400000,120,Clairlea-Birchmount (120),43.7269974,-79.2914658,20
221,2065992,2007,D31,Shooting,1173931200000,22,Humbermede (22),43.7487793,-79.5483704,21
222,1564750,2007,D13,Shooting,1174104000000,107,Oakwood Village (107),43.6926575,-79.4408417,22
223,1438873,2007,D32,Other,1175054400000,51,Willowdale East (51),43.7804794,-79.4123154,23
224,2090220,2007,D31,Stabbing,1175486400000,25,Glenfield-Jane Heights (25),43.7518196,-79.5168915,24
225,2072766,2007,D51,Shooting,1175659200000,71,Cabbagetown-South St.James Town (71),43.6681747,-79.3695602,25
226,1447527,2007,D22,Shooting,1175745600000,2,Mount Olive-Silverstone-Jamestown (2),43.7536201,-79.5870972,26
227,1606685,2007,D43,Other,1175832000000,137,Woburn (137),43.7622032,-79.2262497,27
228,2086798,2007,D32,Stabbing,1176091200000,34,Bathurst Manor (34),43.7551231,-79.4405365,28
229,1842715,2007,D43,Shooting,1176350400000,68,North Riverdale (68),43.6650505,-79.3543396,29
230,2003231,2007,D41,Stabbing,1176436800000,124,Kennedy Park (124),43.7333374,-79.2632904,30
231,2178693,2007,D31,Shooting,1177128000000,26,Downsview-Roding-CFB (26),43.7166977,-79.5276794,31
232,2021610,2007,D54,Stabbing,1177214400000,67,Playter Estates-Danforth (67),43.6777954,-79.3507462,32
233,1971014,2007,D51,Other,1177819200000,75,Church-Yonge Corridor (75),43.6702271,-79.3867874,33
234,2198590,2007,D42,Shooting,1178683200000,131,Rouge (131),43.8042831,-79.1794968,34
235,2226769,2007,D23,Other,1179115200000,5,Elms-Old Rexdale (5),43.7267418,-79.5520859,35
236,2163954,2007,D53,Shooting,1179460800000,99,Mount Pleasant East (99),43.7084122,-79.3901978,36
237,2044021,2007,D31,Shooting,1179720000000,22,Humbermede (22),43.7417984,-79.5401306,37
238,1902458,2007,D31,Shooting,1179892800000,42,Banbury-Don Mills (42),43.7518005,-79.3495636,38
239,2151831,2007,D14,Shooting,1179633600000,78,Kensington-Chinatown (78),43.6496735,-79.4013138,39
240,2226684,2007,D55,Other,1180152000000,73,Moss Park (73),43.6515694,-79.3627396,40
