Index_,event_unique_id,occurrencedate,reporteddate,premisetype,ucr_code,ucr_ext,offence,reportedyear,reportedmonth,reportedday,reporteddayofyear,reporteddayofweek,reportedhour,occurrenceyear,occurrencemonth,occurrenceday,occurrencedayofyear,occurrencedayofweek,occurrencehour,MCI,Division,Hood_ID,Neighbourhood,Long,Lat,ObjectId
20087,GO-20141515313,1392141600000,1392228480000,Commercial,2132,200,Theft From Motor Vehicle Over,2014,February,12,43,Wednesday ,18,2014,February,11,42,Tuesday   ,18,Theft Over,D54,59,Danforth East York (59),-79.3199158,43.6958847,1
20088,GO-20141831632,1396623600000,1396687680000,Apartment,2130,210,Theft Over,2014,April,5,95,Saturday  ,8,2014,April,4,94,Friday    ,15,Theft Over,D52,77,Waterfront Communities-The Island (77),-79.3801956,43.6399651,2
20090,GO-20142024268,1399323600000,1399381260000,Outside,2130,210,Theft Over,2014,May,6,126,Tuesday   ,13,2014,May,5,125,Monday    ,21,Theft Over,D11,86,Roncesvalles (86),-79.436264,43.6429634,3
20097,GO-20141783338,1393632000000,1396086300000,Outside,2130,210,Theft Over,2014,March,29,88,Saturday  ,9,2014,March,1,60,Saturday  ,0,Theft Over,D22,14,Islington-City Centre West (14),-79.5177612,43.6308784,4
20105,GO-20142980040,1386415320000,1411644120000,Apartment,2130,210,Theft Over,2014,September,25,268,Thursday  ,11,2013,December,7,341,Saturday  ,11,Theft Over,D55,70,South Riverdale (70),-79.3440857,43.6615219,5
20106,GO-201571492,1412121600000,1421148000000,Apartment,2130,210,Theft Over,2015,January,13,13,Tuesday   ,11,2014,October,1,274,Wednesday ,0,Theft Over,D11,88,High Park North (88),-79.4668503,43.6572304,6
20124,GO-20142033329,1398067200000,1399500600000,Commercial,2130,200,Theft From Mail / Bag / Key,2014,May,7,127,Wednesday ,22,2014,April,21,111,Monday    ,8,Theft Over,D53,98,Rosedale-Moore Park (98),-79.3842087,43.6708069,7
20135,GO-20141413752,1390568400000,1390744740000,Apartment,2130,200,Theft From Mail / Bag / Key,2014,January,26,26,Sunday    ,13,2014,January,24,24,Friday    ,13,Theft Over,D31,24,Black Creek (24),-79.52285,43.7729988,8
20147,GO-20149009061,1419958800000,1420027020000,Commercial,2133,200,Theft Over - Shoplifting,2014,December,31,365,Wednesday ,11,2014,December,30,364,Tuesday   ,17,Theft Over,D33,47,Don Valley Village (47),-79.3437195,43.7758369,9
20162,GO-20141479482,1391436000000,1391688840000,House,2130,200,Theft From Mail / Bag / Key,2014,February,6,37,Thursday  ,12,2014,February,3,34,Monday    ,14,Theft Over,D54,54,O'Connor-Parkview (54),-79.3164215,43.7049408,10
20170,GO-20142442585,1404655200000,1404657960000,Commercial,2133,200,Theft Over - Shoplifting,2014,July,6,187,Sunday    ,14,2014,July,6,187,Sunday    ,14,Theft Over,D11,83,Dufferin Grove (83),-79.4370346,43.6552162,11
20173,GO-20142154254,1400873400000,1401094560000,Outside,2130,210,Theft Over,2014,May,26,146,Monday    ,8,2014,May,23,143,Friday    ,19,Theft Over,D42,130,Milliken (130),-79.258873,43.8175964,12
20218,GO-20143336721,1380499200000,1416498360000,House,2130,210,Theft Over,2014,November,20,324,Thursday  ,15,2013,September,30,273,Monday    ,0,Theft Over,D53,41,Bridle Path-Sunnybrook-York Mills (41),-79.3756561,43.7172012,13
20338,GO-201584348,1421139600000,1421324520000,Outside,2130,210,Theft Over,2015,January,15,15,Thursday  ,12,2015,January,13,13,Tuesday   ,9,Theft Over,D14,83,Dufferin Grove (83),-79.431076,43.6528511,14
20368,GO-20142371868,1402956000000,1403787300000,Commercial,2130,210,Theft Over,2014,June,26,177,Thursday  ,12,2014,June,16,167,Monday    ,22,Theft Over,D42,131,Rouge (131),-79.2511902,43.8366013,15
20518,GO-2015387887,1425672000000,1425744840000,Outside,2132,200,Theft From Motor Vehicle Over,2015,March,7,66,Saturday  ,16,2015,March,6,65,Friday    ,20,Theft Over,D52,78,Kensington-Chinatown (78),-79.3980484,43.6529465,16
20548,GO-20143362438,1416571200000,1416853560000,House,2130,210,Theft Over,2014,November,24,328,Monday    ,18,2014,November,21,325,Friday    ,12,Theft Over,D42,128,Agincourt South-Malvern West (128),-79.2580872,43.7853737,17
20582,GO-20143191680,1403182800000,1414500600000,Commercial,2130,210,Theft Over,2014,October,28,301,Tuesday   ,12,2014,June,19,170,Thursday  ,13,Theft Over,D55,68,North Riverdale (68),-79.3588715,43.6762047,18
20585,GO-20141894951,1397066400000,1397558880000,Other,2130,210,Theft Over,2014,April,15,105,Tuesday   ,10,2014,April,9,99,Wednesday ,18,Theft Over,D51,77,Waterfront Communities-The Island (77),-79.3715057,43.6476402,19
20589,GO-20142509031,1380628800000,1405517640000,Commercial,2130,210,Theft Over,2014,July,16,197,Wednesday ,13,2013,October,1,274,Tuesday   ,12,Theft Over,D31,24,Black Creek (24),-79.5181122,43.758976,20
20599,GO-201571484,1420260000000,1421147940000,Commercial,2130,200,Theft From Mail / Bag / Key,2015,January,13,13,Tuesday   ,11,2015,January,3,3,Saturday  ,4,Theft Over,D55,63,The Beaches (63),-79.288765,43.67239,21
20628,GO-20142672337,1407652200000,1407652200000,Commercial,2130,210,Theft Over,2014,August,10,222,Sunday    ,6,2014,August,10,222,Sunday    ,6,Theft Over,D53,100,Yonge-Eglinton (100),-79.3970413,43.7002983,22
20663,GO-20142134909,1397692800000,1400856960000,Commercial,2130,210,Theft Over,2014,May,23,143,Friday    ,14,2014,April,17,107,Thursday  ,0,Theft Over,D51,75,Church-Yonge Corridor (75),-79.3793716,43.6618767,23
20664,GO-20141813509,1396353600000,1396437240000,Outside,2132,200,Theft From Motor Vehicle Over,2014,April,2,92,Wednesday ,11,2014,April,1,91,Tuesday   ,12,Theft Over,D51,73,Moss Park (73),-79.3653107,43.6542625,24
20674,GO-2015635266,1429272900000,1429276320000,Outside,2130,210,Theft Over,2015,April,17,107,Friday    ,13,2015,April,17,107,Friday    ,12,Theft Over,D42,130,Milliken (130),-79.2894897,43.8068886,25
20687,GO-20143514135,1399334400000,1419088020000,Commercial,2130,210,Theft Over,2014,December,20,354,Saturday  ,15,2014,May,6,126,Tuesday   ,0,Theft Over,D51,75,Church-Yonge Corridor (75),-79.3845978,43.6649399,26
20728,GO-20142255727,1410366300000,1410368040000,House,2130,210,Theft Over,2014,September,10,253,Wednesday ,16,2014,September,10,253,Wednesday ,16,Theft Over,D32,37,Willowdale West (37),-79.4178696,43.777668,27
20806,GO-20143410674,1417524300000,1417528200000,Commercial,2130,210,Theft Over,2014,December,2,336,Tuesday   ,13,2014,December,2,336,Tuesday   ,12,Theft Over,D41,119,Wexford/Maryvale (119),-79.2947311,43.7453804,28
