unique_id,Agency Name,Site Name,Service Name,Service Name (2),Address,Site City,Site Postal Code,Application,Crisis_Phone,Description (Service),Eligibility,E_Mail,Hours,Languages,Office_Phone,Primary_Contact,Primary_Contact_Email,Toll_Free_Phone,Website,Taxonomy,Fees,Funding,DD Code,Physical Access,Category,FSA
0,Child and Family Services Review Board,Child and Family Services Review Board,Child and Family Services Review Board,,"655 Bay St, 14th Fl Toronto, ON M7A 2A3",Toronto,M7A 2A3,"Call, email, or visit website for information * applications available online to download -- submit completed application in person, or by fax, email, mail or courier",,"Adjudicative tribunal conducts reviews and hearings on matters affecting children, youth and families in Ontario * hears applications regarding child residential placement recommendations, emergency secure treatment, crown ward removal, complaints against children's aid societies, and refusal of adoption placement under the Child and Family Services Act * reviews international adoption refusal under the Intercountry Adoption Act * hears appeals regarding school board expulsion under the Education Act * under auspices of Social Justice Tribunals Ontario","Children and youth birth-17 years * parents or guardians, including foster and adoptive parents, and prospective adoptive parents",cfsrb@ontario.ca,Mon-Fri 9 am-5 pm,English ; French ; Interpreters/translators available for other languages at hearings by prior arrangement,416-327-0111,,,1-888-777-3616,www.sjto.ca/cfsrb,Provincial Administrative Tribunals ~ Adoption/Foster Care Issues,Unknown,,Children and Youth,Wheelchair accessible automatic main entrance ; Elevator with braille and voice/tone features - lowered buttons ; Barrier-free washroom including door and stall,Community Services,M7A 
1,Custody Review Board,Custody Review Board,Custody Review Board,,"655 Bay St, 14th Fl Toronto, ON M7A 2A3",Toronto,M7A 2A3,"Call or visit website for information, including information required to complete a telephone application through the Case Coordinator * collect calls accepted",,"Adjudicative tribunal * reviews decisions under the Child and Family Services Act regarding placement in or transfer to a particular facility, refusal of temporary release or reintegration leave, or transfer from a place of open custody to secure custody * under auspices of Social Justice Tribunals Ontario","Youth 12-17 years, in custody or detention",cfsrb@ontario.ca,Mon-Fri 9 am-5 pm,English ; French ; Interpreters/translators available for other languages at hearings by prior arrangement,416-327-4673,,,1-888-728-8823,www.sjto.gov.on.ca/crb,Provincial Administrative Tribunals ~ Offender/Ex-Offender Issues,Unknown,,Children and Youth,Wheelchair accessible automatic main entrance ; Elevator with braille and voice/tone features - lowered buttons ; Barrier-free washroom including door and stall,Community Services,M7A 
2,Social Justice Tribunals Ontario,Social Justice Tribunals Ontario,Social Justice Tribunals Ontario,,"655 Bay St, 14th Flr Toronto, ON M7A 2A3",Toronto,M7A 2A3,"Call, email or visit website for information * complaints must be submitted in writing by email, fax, mail or TTY -- contact Complaints Coordinator for assistance",,"Provide dispute resolution * see separate entries: Child and Family Services Review Board Criminal Injuries Compensation Board Custody Review Board Human Rights Tribunal of Ontario Landlord and Tenant Board Ontario Special Education (English) Tribunal Ontario Special Education (French) Tribunal Social Benefits Tribunal Receives complaints regarding SJTO services, staff and members -- does not hear complaints about decisions or orders issued by tribunals",Open to all,sjtocomplaints@ontario.ca,Mon-Fri 9 am-5 pm,English ; French,Complaints Coordinator -- 416-585-6878 Child and Family Services Review Board -- 416-327-0111 Criminal Injuries Compensation Board -- 416-326-2883 Custody Review Board -- 416-327-4673 Human Rights Tribunal of Ontario -- 416-326-1312 Landlord and Tenant Board -- 416-645-8080 Ontario Special Education Tribunal -- 416-326-1356 Social Benefits Tribunal -- 416-326-0978,"Whitney Miller, Manager, Communications and Issues; Phone: 416-212-8021; Email: whitney.miller@ontario.ca",whitney.miller@ontario.ca,Complaints Coordinator -- 1-855-219-4893 Child and Family Services Review Board -- 1-888-777-3616 Criminal Injuries Compensation Board -- 1-844-249-1619 Custody Review Board -- 1-888-728-8823 Human Rights Tribunal of Ontario -- 1-866-598-0322 Landlord and Tenant Board -- 1-888-332-3234 Social Benefits Tribunal -- 1-800-855-0511,www.sjto.ca,Government Complaints/Government Ombudsman Offices ~ Human/Social Services Issues ; Provincial Administrative Tribunals ~ Human/Social Services Issues,Unknown,,Community Services (Coordinating/Development),Wheelchair accessible automatic main entrance ; Easy access to elevator ; Elevator with braille and voice/tone features ; Dedicated accessible washroom with all features ; Designated parking in underground lot - automatic entrance,Community Services,M7A 
3,UJA Federation of Greater Toronto,Neuberger Holocaust Education Centre,Anita Ekstein Holocaust Resource Library,,"4600 Bathurst St, 4th Fl Toronto, ON M2R 3V2",Toronto,M2R 3V2,Call or visit website for information,,"Books, films, periodicals, oral and written testimonies * materials in English, Hebrew, Yiddish, as well as German, Hungarian, Polish and Russian * online catalogue",Open to all,askorupsky@ujafed.org,"Mon-Thu 8:30 am-4:30 pm, Fri 9 am-2 pm * reduced hours for July-August",English ; French ; German ; Hebrew ; Hungarian ; Polish ; Russian ; Ukrainian ; Yiddish,416-635-2996,"Anna Skorupsky, Head Librarian; Email: askorupsky@ujafed.org",askorupsky@ujafed.org,,www.holocaustcentre.com/AnitaEkstein,Ethnocultural Collections ~ Jewish Community ; Special Libraries ~ Jewish Community,"Annual membership -- $18 adults, $10 students and seniors * free membership for Holocaust survivors and educators",,Community Services (Coordinating/Development),Wheelchair accessible automatic main entrance - including ravine entrance ; Elevator with braille and voice/tone features - lowered buttons ; Barrier-free washroom including door and stall ; Designated parking near elevator,Community Services,M2R 
5,Alexandra Park Community Centre,Alexandra Park Community Centre,Alexandra Park Community Centre,,"105 Grange Court Toronto, ON M5T 2J6",Toronto,M5T 2J6,"Call, drop in or visit the website",,"Social, recreation, and education programs * community support * information and referral * client advocacy * women's program * hall rental Children and youth programs -- after 4 program, homework help for children 12-16 years * youth mentorship program for youth 13-18 years * summer day camps Moms and Tots Program -- Caregiver and child drop-in * EarlyON Child and Family Centre * parenting workshops",Residents of catchment area,apcc.admin@guinepp.net,"Mon-Fri 8 am-9 pm, Sat 9 am-3 pm * programs hours vary -- call for details",English ; French ; Chinese (Cantonese) ; Chinese (Mandarin) ; Hindi ; Portuguese ; Somali ; Spanish ; Tamil ; Urdu ; Vietnamese,416-603-9603,"Donna Harrow, Executive Director",,,www.alexandraparkcc.com,Adult/Child Mentoring Programs ; Comprehensive Information and Referral ; Day Camps ; Early Childhood Family Centres ; Extended Child Care ; General Recreational Activities/Sports ; Homework Help Programs ~ Adolescents ; Individual Advocacy ; Meeting Space ; Neighbourhood Multipurpose Centres ; Parenting Skills Classes,Unknown,,Community Centres,Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Community Services,M5T 
6,All Saints Church-Community Centre,All Saints Church-Community Centre,Community programs,,"315 Dundas St E Toronto, ON M5A 2A2",Toronto,M5A 2A2,"Call, drop in or visit the website",,"Counselling and advocacy * referrals and resources * legal support * housing support * sex worker specific drop-in and services * harm reduction supplies, needle exchange * cooking and nutrition classes * computer workstations with Internet access * worship and pastoral counselling All Saints Drop In -- for men and women * entrance on Sherbourne St * services include mail service and ID clinic * call for times and details of specific programs or servicesMember agency of Toronto Drop-in Network (TDIN)",Homeless or street involved individuals,admin@allsaintstoronto.com,"Mon 8 am-3:45 pm, Tue 8 am-3:45 pm, Wed 10:30 am-3:45 pm, Thu 8 am-3:45 pm * Drop In for street-involved or trans women, Fri 8 am-11:30 am",English ; French - one staff speaks French ; Chinese (Mandarin) ; Portuguese ; Spanish ; Tamil,416-368-7768,"Marva Wilson, Office Manager; Phone: 416-368-7768 ext 21",,,www.allsaintstoronto.com,AIDS/HIV/STD Prevention Supplies ~ Homeless People ; Cooking Classes ~ Homeless People ; Drop In Centres for People at Risk ~ Sex Trade Workers ; Faith Based Counselling ~ Homeless People ; General Counselling Services ~ Homeless People ; Homeless Drop In Centres ; Housing Search Assistance ~ Homeless People ; Identification Clinics ; Individual Advocacy ~ Homeless People ; Legal Counselling ~ Homeless People ; Needle Exchange/Distribution Programs ; Public Access Computers/Tools ~ Homeless People ; Public Internet Access Sites ~ Homeless People ; Specialized Information and Referral ~ Homeless People ; Temporary Mailing Address,None,,Community Centres,Designated parking at entrance ; Wheelchair accessible automatic main entrance ; One step to access the washroom,Community Services,M5A 
7,Centre francophone du Grand Toronto,Centerpoint Mall,Services to newcomers,Centerpoint Mall,"6464 Yonge St Toronto, ON M2M 3X4",Toronto,M2M 3X4,Call for appointment,,"Settlement Program (formerly Immigrant Settlement and Adaptation Program) -- services to enable immigrants and refugees to integrate into Canadian society including orientation programs, skills training to help facilitate employment, and programs to welcome newcomers to the community * individual agencies may provide needs and eligibility assessments, pre- and post-arrival information and referral, job search and employment counselling, assistance to establish social and professional networks to promote community engagement, and assistance to access a range of settlement services * settlement services in French-language schools with the Programme d'intégration dans les écoles francophones (PIDEF) -- outreach program based in elementary and secondary schools from mid-August to end of June, and in libraries and social service agencies from July to mid-August * Host Program for matching foreign trained professionals with peers Community Connections Mentorship Program -- group activities for newly arrived immigrants and refugees of all ages to help orient them to their new community and establish social and professional networks * trained and experienced volunteer mentors assist, with focus on citizenship and civic engagement or skills and career development",French-speaking people living in Toronto,,Mon-Thu 8:30 am-4:30 pm,French - Designated Agency under the French Language Services Act,416-221-4442 ext 0,,,,centrefranco.org/emplois/,Adult Mentoring Programs ~ Immigrants/Refugees ~ Francophone Community ; Career Exploration ~ Immigrants/Refugees ~ Francophone Community ; Cultural Transition Counselling ; Newcomer Settlement Services ~ Francophone Community ; Outreach Programs ~ Immigrants/Refugees ~ Francophone Community ; Specialized Information and Referral ~ Immigrants/Refugees,Unknown,United Way - United Way Greater Toronto,Francophone Services,"Wheelchair accessible automatic main entrance ; Wheelchair accessible washroom, assistance needed with door ; street parking close to entrance",Community Services,M2M 
8,Applegrove Community Complex,Applegrove Community Complex,Applegrove Community Complex,,"Inside Duke of Connaught Public School 60 Woodfield Rd Toronto, ON M4L 2W6",Toronto,M4L 2W6,"Call, drop in or visit the website",,"children's programs -- after school and evening activities for children and youth * therapeutic play group for children 3-5 years * satellite agency for EarlyON Child and Family Centre * 2 family resource centres * perinatal nutrition and support * children's summer day camp Program also available at Toronto Formosan Presbyterian Church, 31 Eastwood Rd, just east of Coxwell Av Tue-Wed 9:30 am-1 pm Seniors program * income tax clinic (seasonal) * referrals to other agencies * opportunity for community development",Open to all,applegrove@applegrovecc.ca,Mon-Fri 9 am-6 pm * some evening programs,English,416-461-8143,"Susanne Burkhardt, Executive Director; Email: sburkhardt@applegrovecc.ca",sburkhardt@applegrovecc.ca,,www.ApplegroveCC.ca,Comprehensive Information and Referral ; Day Camps ~ Children ; Early Childhood Family Centres ; Extended Child Care ; General Expectant/New Parent Assistance Programs ; Neighbourhood Multipurpose Centres ; Play Therapy ~ Children ; Tax Preparation Assistance ; Youth Enrichment Programs,"Programs free, nominal fee or sliding scale",,Community Centres,Wheelchair accessible automatic main entrance - main door only ; Easy access to elevator - operated by key -- assistance required ; Barrier-free washroom including door and stall ; Enter through Woodfield entrance of Duke of Connaught Public School beside the SH Amstrong Community Recreation Centre ; push button to have door opened,Community Services,M4L 
9,Arab Community Centre of Toronto,Etobicoke Head Office,Arab Community Centre of Toronto,Etobicoke Head Office,"555 Burnhamthorpe Rd, Suite 209 Toronto, ON M9C 2Y3",Toronto,M9C 2Y3,Drop in or call for appointment,,"Settlement Services -- information and referral * housing and legal assistance * translation and interpretation * escort * counselling for students, individuals and families, liaising with Children's Aid Society * youth counselling and parenting sessions * orientation * settlement * refugee services -- referral and assistance with shelter, attendance at inquiry, employment, social, welfare and legal services * social and cultural activities * Ontario Community Participation -- volunteer placement program for Ontario Works recipients Youth Services -- settlement program encouraging civic participation and integration through a focus on recreation, sport, and mentorship Access centre for Ontario Electricity Support Program -- assistance with applications Problem Gambling Program -- culturally appropriate prevention, education and treatment * outreach and public education to community groups * individual or group counselling for gamblers or those affected Domestic Violence Education Program -- counselling and referral for victims of family violence Services also offered at 1 Resurrection Rd, 416-533-3292",Open to everyone,Info@acctonline.ca,Mon-Fri 9 am-5 pm,"English ; French ; Amharic ; Arabic ; Armenian ; Assyrian ; Dari ; Dutch ; Gujarati ; Hindi ; Lithuanian ; Pashto ; Punjabi ; Russian ; Tigrinya ; Turkish ; Ukrainian ; Urdu ; Interpretive Services ; also Berber, Sudanese Arabic",416-231-7746,,,,www.acctonline.ca,Adolescent/Youth Counselling ~ Arab Community ; Cultural Heritage Programs ~ Arab Community ; Cultural Transition Counselling ; Family Counselling ~ Arab Community ; Gambling Addiction Counselling ~ Arab Community ; Gambling Addiction Prevention Programs ~ Arab Community ; Housing Search Assistance ~ Immigrants/Refugees ; Immigrant Benefits Assistance ~ Refugees ; Immigrant Mutual Assistance Associations ~ Arab Community ; Immigrant/Newcomer Accompaniment Programs ~ Arab Community ; Interpretation/Translation ~ Arab Community ; Newcomer Settlement Services ~ Arab Community ; Newcomer Settlement Services ~ Refugees ; Newcomer Settlement Services ~ Youth ; Paralegal Counselling ~ Arab Community ; Parent Counselling ~ Arab Community ; Specialized Information and Referral ~ Immigrants/Refugees ; Spouse/Intimate Partner Abuse Counselling ~ Arab Community ; Student Counselling Services ~ Arab Community ; Utility Assistance ; Work Experience ~ Social Assistance Recipients ; Youth Enrichment Programs ~ Arab Community,Free * fees for non-settlement services translations,Regional / Municipal - Community Service Partnerships (CSP),Multicultural,Wheelchair accessible building including main entrance and barrier free washrooms * designated parking,Community Services,M9C 
13,Canadian Centre for Men and Families,Canadian Centre for Men and Families,Canadian Centre for Men and Families,,"152 Carlton St, Unit 201 Toronto, ON M5A 2K1",Toronto,M5A 2K1,Call or email,,"Men's health promotion and support for issues such as depression, anxiety, relationships, separation and divorce, parenting, social isolation and self-esteem, and abuse and trauma * individual, couple and group counselling * peer support group for boys and men includes emotional support, information and resources * legal assistance clinic and resource centre -- individual and group settings * Fathering After Separation or Divorce -- 8 week parenting program * support for male victims of domestic violence, sexual assault and trauma, including counselling and referrals * mindfulness meditation workshops, * employment resource consultation -- resume building, interview preparation and unemployment support, including identification of barriers to employment Initiative of Canadian Association for Equality",Men and their families,info@menandfamilies.org,"Mon-Thu 10 am-8 pm, Fri 10 am-6 pm, Sat 1 pm-5 pm * Sun by appointment",English,647-479-9611,"Justin Trottier, Executive Director",,1-844-900-2263 ; 1-844-900-CCMF,www.menandfamilies.org,Co-Parenting Workshops ~ Fathers ; Divorce Counselling ~ Men ; General Counselling Services ~ Men ; Independent Spiritual Pursuits ~ Men ; Legal Counselling ~ Men ; Marriage Counselling ; Men's Support Groups ; Prejob Guidance ~ Men ; Sexual Assault Counselling ~ Men ; Spouse/Intimate Partner Abuse Counselling ~ Abused Men,Vary * some services free * Fathering After Separation or Divorce -- geared to income,,Community Services (General),Designated parking at entrance ; Not wheelchair accessible,Community Services,M5A 
